index,0,1,2
26457,0.006652086,0.108359634,0.88498828
26458,0.057383872,0.080048138,0.86256799
26459,0.024537837,0.201530784,0.773931379
26460,0.066325975,0.147888817,0.785785208
26461,0.023247741,0.187584584,0.789167674
26462,0.049257181,0.104118734,0.846624085
26463,0.307935022,0.691566327,0.000498651
26464,0.014968788,0.103211215,0.881819997
26465,0.009650235,0.171489998,0.818859767
26466,0.006276464,0.274412125,0.719311411
26467,0.011814409,0.209154559,0.779031032
26468,0.06294712,0.253846059,0.683206821
26469,0.185937956,0.23831967,0.575742374
26470,0.011324371,0.153963623,0.834712006
26471,0.039268202,0.297737698,0.6629941
26472,0.021379148,0.352441032,0.626179821
26473,0.021416312,0.201281739,0.777301949
26474,0.215362067,0.784266167,0.000371767
26475,0.082982715,0.389127428,0.527889857
26476,0.007245519,0.488669764,0.504084717
26477,0.051173116,0.184067557,0.764759327
26478,0.070733086,0.286111255,0.643155659
26479,0.066232963,0.175398455,0.758368582
26480,0.020869231,0.101998183,0.877132585
26481,0.034700966,0.355151095,0.610147938
26482,0.070680908,0.129747291,0.799571801
26483,0.024623591,0.206565102,0.768811307
26484,0.028451241,0.322915319,0.64863344
26485,0.015611249,0.050842377,0.933546374
26486,0.030794974,0.193125222,0.776079805
26487,0.036112983,0.126600357,0.83728666
26488,0.212662721,0.781082837,0.006254442
26489,0.006218397,0.262609136,0.731172467
26490,0.01590161,0.382803991,0.6012944
26491,0.023338654,0.055058997,0.92160235
26492,0.023539037,0.122145509,0.854315455
26493,0.071478553,0.928251306,0.000270141
26494,0.016137024,0.212073678,0.771789298
26495,0.011598012,0.267704265,0.720697723
26496,0.030718395,0.385087672,0.584193933
26497,0.050156194,0.471005831,0.478837974
26498,0.076377851,0.602413888,0.321208261
26499,0.011795004,0.141340897,0.846864099
26500,0.188276764,0.440309154,0.371414082
26501,0.046824757,0.094922229,0.858253014
26502,0.02503473,0.090589832,0.884375438
26503,0.102854699,0.562256278,0.334889023
26504,0.030548249,0.319548361,0.649903389
26505,0.067714724,0.113157676,0.8191276
26506,0.026226587,0.971882872,0.00189054
26507,0.033322732,0.966181636,0.000495632
26508,0.012723728,0.402731261,0.58454501
26509,0.02763248,0.284314519,0.688053002
26510,0.027078108,0.215260834,0.757661058
26511,0.022812887,0.084443059,0.892744054
26512,0.009528166,0.170749331,0.819722503
26513,0.013965558,0.450223903,0.535810538
26514,0.075843757,0.062440174,0.861716069
26515,0.099364295,0.088733097,0.811902608
26516,0.009799788,0.255995068,0.734205144
26517,0.065092926,0.93452804,0.000379033
26518,0.077933248,0.068363012,0.853703739
26519,0.096123451,0.22474686,0.679129689
26520,0.034182382,0.621636856,0.344180762
26521,0.019086561,0.354517554,0.626395884
26522,0.014582312,0.37878187,0.606635818
26523,0.040163499,0.274951675,0.684884826
26524,0.009644585,0.128658307,0.861697108
26525,0.018552249,0.404753734,0.576694017
26526,0.008513494,0.198848602,0.792637904
26527,0.05685921,0.18723786,0.75590293
26528,0.09027711,0.908689921,0.001032969
26529,0.022372678,0.080995317,0.896632004
26530,0.00932913,0.333406757,0.657264113
26531,0.051805644,0.322849676,0.62534468
26532,0.028064069,0.116364454,0.855571477
26533,0.022753588,0.140667,0.836579412
26534,0.042074962,0.099204708,0.85872033
26535,0.075982696,0.201873322,0.722143982
26536,0.104215819,0.149853213,0.745930968
26537,0.012606081,0.052609241,0.934784678
26538,0.013015613,0.262230922,0.724753465
26539,0.013736753,0.106823337,0.879439911
26540,0.019115423,0.580806597,0.40007798
26541,0.019897467,0.251540642,0.728561891
26542,0.006941679,0.147013853,0.846044468
26543,0.08288618,0.081758017,0.835355803
26544,0.112012552,0.258139506,0.629847941
26545,0.049984681,0.56526827,0.384747049
26546,0.011900962,0.34977712,0.638321918
26547,0.110645503,0.208129882,0.681224614
26548,0.111460813,0.127204941,0.761334246
26549,0.059231034,0.940224588,0.000544378
26550,0.012870187,0.109392736,0.877737077
26551,0.007335056,0.362717399,0.629947545
26552,0.008957331,0.292280145,0.698762525
26553,0.045411092,0.09294795,0.861640958
26554,0.024969306,0.541837764,0.433192929
26555,0.035926072,0.142143974,0.821929955
26556,0.019644757,0.389501557,0.590853686
26557,0.049204537,0.144431479,0.806363984
26558,0.135522537,0.110120353,0.754357111
26559,0.059277115,0.096188604,0.844534281
26560,0.039238853,0.187734124,0.773027023
26561,0.02538753,0.254568697,0.720043773
